Bulan,1981-1990,1991-2000,2001-2010
1,489,482,422
2,308,420,410
3,299,420,378
4,260,340,283
5,199,140,125
6,147,128,105
7,40,59,50
8,70,60,2
9,135,60,60
10,230,402,338
11,420,498,640
12,400,405,425
